trade_date,raw_rows,active_rows,matched_rows,stock_coverage,amount_coverage,large_net_ratio,small_net_ratio,large_selling_fraction,large_selling_amount_fraction,large_net_median,large_small_divergence,shanghai_relative,up_sell_amount_fraction,down_buy_amount_fraction,high_turnover_large_ratio,other_turnover_large_ratio
20260508,5181,5180,5180,1,1,-0.0051873838810705883,0.0046874492116187093,0.5538610038610039,0.54918114852934496,-0.0037249426004943229,0.4611969111969112,0.0061785962226335806,0.18801403953374815,0.095655702046068616,-0.0078564034243449321,-0.0014489483307908418
20260511,5181,5180,5180,1,1,-0.0028657336103606614,0.0027400725997764981,0.57007722007722006,0.56148194328949519,-0.0044379534192695545,0.44806949806949808,0.0032661093768809333,0.33574120945042696,0.055904208779333366,-0.0012797820880021786,-0.0051327789148078911
20260512,5180,5179,5179,1,1,-0.01223431680647584,0.0091927966881329894,0.61575593743966017,0.62802137126465551,-0.0083721217994043549,0.48773894574242133,0.0099051960588477407,0.170152210034902,0.11197258952855281,-0.013500514300999649,-0.010381202310580763
20260513,5184,5183,5183,1,1,0.00014182055009423567,0.0019156146496936749,0.57399189658498939,0.50861048416279075,-0.005221784251825675,0.47443565502604668,-0.001291108178904356,0.293192716904976,0.06514503534303695,0.0023733181808685737,-0.0031863570656174389
20260514,5184,5183,5183,1,1,-0.015688779960768586,0.01256507615173957,0.632066370827706,0.66532175041172925,-0.0095514199634116163,0.53328188307929769,0.013769926782002766,0.091438424780625013,0.16513612175981435,-0.016738397905969926,-0.014123417823238527
20260515,5185,5184,5184,1,1,-0.0090345368607491483,0.0066865201016324156,0.57831790123456794,0.61891459584978237,-0.0051154577137123101,0.44714506172839508,0.0069405911454215059,0.12890421663158064,0.13817035171657602,-0.010875793996146717,-0.0062581661959842166
20260518,5188,5187,5187,1,1,-0.0043639818196849183,0.0037810815830798118,0.58608058608058611,0.5464752040946631,-0.0053651680140619452,0.46674378253325621,0.0035153377369720141,0.21260751463301597,0.098203715504726521,-0.0034889220344034608,-0.0056254265313930235
20260519,5183,5182,5182,1,1,-0.0049576506497839646,0.0039858856007010945,0.57603241991509069,0.57383947040377292,-0.0045426844959386009,0.47086067155538402,0.0029197665605327884,0.26213144748017481,0.071194564582834727,-0.0069783525722278347,-0.0020227430669758771
20260520,5187,5186,5186,1,1,-0.0074242095448815862,0.005528194542011834,0.6191669880447358,0.58035504255435966,-0.0078591875228030683,0.49286540686463554,0.0055874598151693308,0.22107325631782473,0.086581071193019596,-0.005017048203424343,-0.011013285386063202
20260521,5190,5189,5189,1,1,-0.012148060538907006,0.0092979829321588516,0.61765272692233575,0.65661649189347293,-0.007937866895418191,0.49797648872615147,0.01006971866455297,0.077760803695592323,0.19713983868871074,-0.013082458168187363,-0.010795761242443237
